,text_id,text,task_1,task_2
2304,hasoc_de_2305,"ef:'Korruption der Herrscher in Afrika: Der Griff in die Staatskasse: Korruption der Herrscher in Afrika: Der Griff in die Staatskasse 
 '",0,NONE
2748,hasoc_de_2749,"Unzensuriert:Antrag im Nationalrat: FPÖ will das Bargeld in der Verfassung schützen: Euro Noten 500er Foto: Bin im Garten / Wikimedia (CC BY-SA 3.0) Die FPÖ will das Bargeld in Österreich schützen: Nachdem hier die Bürger immer weitergehende… 
",0,NONE
862,hasoc_de_863,"'ZDF vergleicht christliches Pfingstfest mit einem 'Drogentrip': Welchen Vergleich wird man dort zum Ramadan wagen?'  
",0,NONE
1726,hasoc_de_1727," 
",0,NONE
1506,hasoc_de_1507,"Warum führen unsere lieben Politiker Geheimverhandlungen zum Migrationspakt? Was sollte da wieder verheimlicht werden? 
",0,NONE
511,hasoc_de_512,"Mecklenburg-Vorpommern - AfD bei 19 Prozent, SPD vor Machtverlust 
 via USER  afd  ",0,NONE
1728,hasoc_de_1729,"keine Fußball WM--da macht man es eben auf die andere Art  
",1,PRFN
1070,hasoc_de_1071,"Der linksextreme USER fragt sich, wann und wo Flüchtlinge je öffentliche Gebäude abfackelten.  Verpasst diesen Aktivisten mal einen kleinen News-Flash!  Ich beginne mal mit Schokopudding.  :) 
",0,NONE
594,hasoc_de_595,"Nun hören Sie mal mit dem Gejammer auf. Wer willkürlich mit dem Finger auf andere zeigt, darf nicht klagen, wenn auf ihn zurückgezeigt wird. 
",0,NONE
3668,hasoc_de_3669,USER Dushan hat mit Sicherheit nicht nur einmal zu heiß 'geduscht',0,NONE
3479,hasoc_de_3480,"Europawahl2019 EUelections2019 Deutschland Germany 
",0,NONE
240,hasoc_de_241,"Da hat die gute Greta mal ihre Tabletten genommen+ eingesehen, dass wir ohne Energie im Dunkeln+Kalten stehen+sprach sich für Atomenergie aus! Tja, das war's dann mit dem Friedensnobelpreis. Welcher  Messias wird jetzt von den Medien erfunden, nach Martin Schulz, Macron+Greta?",0,NONE
2727,hasoc_de_2728,USER Bitte den Oberkellner nicht beleidigen!  Die Gäste sind durstig!,0,NONE
229,hasoc_de_230,"Maltas Ministerpräsident Joseph Muscat: 'Die Migranten hätten nach Tunesien gebracht werden sollen, da dort der Rettungsaktion nächstgelegene Hafen ist und nicht nach Europa.' Werden die Schlepper denn verhaftet und warum unterstützt die  Bundesregierung sowas USER",0,NONE
214,hasoc_de_215,"USER Hallo, gute Tweets, aber bist du echt ein Punk+links?",0,NONE
1565,hasoc_de_1566,USER USER Auf den Punkt gebracht ,0,NONE
809,hasoc_de_810,"Sollte Herr Seehofer und das USER glauben, ich ließe mich von ihrer Verschlusssachen-Taktik einlullen, haben sie sich geschnitten. Ich werde weiter an dem Thema dranbleiben, bis die Bürger endlich alle Fakten offen auf dem Tisch liegen haben. AfD    
",0,NONE
2426,hasoc_de_2427,"Microsoft Flight Simulator - E3 2019 - Announce Trailer 
 via USER",0,NONE
2887,hasoc_de_2888,"USER Gebe ich Ihnen zu 100% recht. Aber es zeigt doch, das ist afd was bewegt hat. Wie in Dänemark auch, müssen die altparteien endlich aufs Volk eingehen oder selbst untergehen. Klar, ärgerlich für die, die dies schon seit jahren fordern und deshalb als Nazis betitelt wurden.",0,NONE
3696,hasoc_de_3697,USER USER Mehr als Totalschaden hat die,1,OFFN
544,hasoc_de_545,"Das retweeten dieses Tweets ist offensichtlich 'unerwünscht', denn auch nach 5x aktualisieren geht es NICHT! 
",0,NONE
721,hasoc_de_722,"Gestern: Linksextremer Mob störte angemeldete Wahlkampfveranstaltung AfD  in Koblenz - Bürger, darunter ältere Menschen wurden bedroht, bespuckt, beleidigt, Redner niedergebrüllt, b Erwähnung Opfer v Gewalt gejohlt. Polizei räumte. Führende Rolle: MdL Köbberling USER 
",0,NONE
2002,hasoc_de_2003,"Denkt nicht, dass zumindest ihre Kinder in der Gesellschaft unter der westlichen Bildung integriert werden.    Diese Denkweise ist falsch, denn in der Erziehung des Kindes kommt die Familie zuerst. 
",0,NONE
3030,hasoc_de_3031,"USER 'Dann sollen die in 3. Weltländer reisen...'  Weil, wenn es in Afrika wärmer ist als hier, dann ist das die Klimaerwärmung ",0,NONE
3536,hasoc_de_3537,"Es wird böse enden. 
",0,NONE
1743,hasoc_de_1744,"  der hat doch keinen Spargelstecher der arme Wolf  
",0,NONE
2367,hasoc_de_2368,"MMNews: Finanzminister Scholz verteidigt Mietendeckel: Bundesfinanzminister Olaf Scholz (SPD) hat Verständnis für die Pläne der rot-rot-grünen Berliner Landesregierung gezeigt, die Mieten für fünf Jahre einzufrieren. 'Man muss über solche Maßnahmen… 
",0,NONE
402,hasoc_de_403,USER USER isch geh jetzt mal Tankstelle ...,0,NONE
3513,hasoc_de_3514,"Kehrwoche!  Anni &amp; Else in der Bln. Schreinerstr. müssen den Treppenabsatz allein wischen.  Der Hauswirt wurde republikflüchtig!  Aber die vorbildl. Hausgemeinschaft hat einen Vollpflegevertrag mit der Kommunalen Wohnungsverwaltung  Für ihre gute Arbeit: Nadel für patriot. Leistung 
",0,NONE
322,hasoc_de_323,"Heute eine Turnhalle gesehen, die als Unterkunft für gewisse Leute herhalten musste, die über sichere Drittstaaten kamen+hier gar nichts zu suchen hatten. Wir durften sie beim Sport nicht mit Straßenschuhen betreten, aber sie ist jetzt abrissreif!  Danke Merkel USER   USER",0,NONE
976,hasoc_de_977,"Eben auf M TV  junge Frau mit wechselnden Partnern,anschließend die jungen Männer mit einer Sprayflasche im Rythmus eine Wand besprühen und dazu 'what you want'!  Was das nur heißen mag?  Jetzt noch Rhihanna 'get ab,com in boy...boy..bomm...bom ..bomm'was ist das nun wieder?",0,NONE
1552,hasoc_de_1553,"Homosexuelle gegen Islamophobia  Wo kommt nur die ganze Blödheit in Europa her ?     Warum steigen solche Figuren nicht gleich in den Tigerkäfig und beweisen das der Tiger nur spielen will.     Islamisierung ReligionofPeace 
",1,OFFN
1242,hasoc_de_1243,"In Frankreich brennen in letzter Zeit ziemlich viele (christliche) Kirchen. Heute ist die NotreDame an der Reihe. 
",0,NONE
2232,hasoc_de_2233,Schwarzer Tag für die Meinungsfreiheit.   EU-Parlament stimmt für Urheberrechtsreform.   Ohne jegliche Änderungen.  Incl. Artikel13 Article13   CopyrightDirective   AfD war strikt dagegen!,0,NONE
1313,hasoc_de_1314,".  Zahlen der Polizeilichen Kriminalstatistik (PKS)  -  im vergangenen Jahr 136 Kinder getötet  - 14 606 Kinder wurden im vergangenen Jahr sexuell missbraucht    
",0,NONE
2823,hasoc_de_2824,"War vorherzusehen denn alles basiert auf Lügen!  Router in Standardeinstellung speichert NUR das Anmelden, Telefonanbieter dürfen überhaupt KEINE Daten mehr speichern. Die Fahrt mit dem Twingo war VOR Rebeccas verschwinden ausgemacht.  
  findbecci rebecca",0,NONE
2474,hasoc_de_2475,"Zu den finstersten Orten im akademischen Betrieb dieses Landes zählen die Orient-Institute, diese Horte der Gegenaufklärung und Ressentiments. Dass sich einige Nahostwissenschaftler öffentlich für BDS starkmachen, nimmt deshalb nicht wunder. 
",0,NONE
2020,hasoc_de_2021,"Bei den Frauen übersteigen die Prämien die Einnahmen, bei den Männern sind sie 1/7 der Einnahmen. Würde man die gleichen Prämien zahlen würden die Prämien das 100 fache der Einnahmen sein  Frauenfussball FrauenfussballWM 
",0,NONE
978,hasoc_de_979,"Was wird man wohl von einer Migrationsbeauftragten hören?  Sowahr keine Vorurteilsfreie Rede,denn ihre Stellung hängt von der Migration ab!  Quelle: Bundestag Heute 7.6.19",0,NONE
157,hasoc_de_158,"Vermutlich linksextreme Farbbeutel-Attacke auf meine Ordination: 
",0,NONE
3198,hasoc_de_3199,"Polizei verärgert,weil sie Details aus Instagram preisgibt,jedoch nicht ihnen.  Ist das nicht traurig. Das sagt mir,dass sie gar nicht erst ihren Account angeschaut haben &amp; ihre Konversationen gelesen haben,sondern nur Stur in eine Richtung ermittelt haben.     findbecci rebecca",0,NONE
1778,hasoc_de_1779,"da möchte Mann doch gerne noch mal Kind sein  mmmmhhhhhhhhhh 
",0,NONE
205,hasoc_de_206,"Was ich tatsächlich wähle sage ich nicht.   wahlomat  
 
",0,NONE
1545,hasoc_de_1546,"USER USER 
",0,NONE
33,hasoc_de_34,"Nach suboptimalem Fahrverhalten zweier Autofahrer in Bahrenfeld und Altenwerder wurden ihre hochwertigen Fahrzeuge und die Führerscheine sichergestellt.  
 
",0,NONE
2117,hasoc_de_2118,"Grünen-Politikerin: Wer gegen den Bau von Moscheen ist, soll Deutschland verlassen! 
",0,NONE
3318,hasoc_de_3319,"Gelsenkirchen: Zwei Männer springen vor einem Passanten aus einem Auto, schlagen ihm sofort die Faust ins Gesicht, während einer in gebrochenem Deutsch Handy und Geldbörse von dem 43-Jährigen fordert  
",0,NONE
1697,hasoc_de_1698,"Schon wieder Stichtag.    Chemnitz: Syrer verletzt Deutschen mit Messer, Polizei schweigt! 
",0,NONE
705,hasoc_de_706,"Das SPD-geführte Familienministerium will 'Mutter' und 'Vater' abschaffen? - Wir sollten die SPD abschaffen! 
",0,NONE
