,de,ch_dialect
10614,"Ihr könnt nicht wissen, ob ich im Sinne des Gesetzes schuldig oder unschuldig bin.","Iar könnt nit wüssa, ob i im Sinn vum Gsetz schuldig oder unschuldig bin."
26559,"Die Beine sind ebenso rotgelb, lediglich die Tarsen sind dunkel.","D'Bei send ebeso rotgäl, lediglich d'Tarse send donkel."
87,Hingegen den Bergen nach gibt es häufiger Schnee.,Hingegege de Berge noh gits hüüfiger Schnee.
14904,So setzt sie sich unter anderem für die Anliegen erkrankter Menschen ein.,So setzt sie sich unter anderem für d Aliega vu erkrankta Menscha ii.
28936,Diese Arten seien gegenüber Trockenheit und Wärme widerstandsfähiger.,Die Arte send gägenöber de Trocheheit ond Wärmi wederstandsfähiger.
20179,"Es wird wohl Jahre dauern, bis sich die Region von der Katastrophe erholen wird.","Es wird apa Jahri düüru, bis schich d'Region vaner Kataschtropha erholu wird."
4094,"Die Staatsmedien reagierten mit einer Social-Media-Kampagne, in der sich User als Beschützer der chinesischen Flagge inszenierten.","D Schtaatsmedia hei mitere Social-Media-Kampagnä reagiert, wosech User aus Beschützer vor chinesischä Flaggä hei inszeniert."
28365,Heer würde vermehrt auch wieder Themen wie AHV und Krankenkassenprämien auf die politische Agenda setzen.,De Heer wörd au vermeehrt weder Theme wie d AHV ond d Krankekasseprämie uf di politischi Agända setze.
23211,Der Lenker ist direkt an der Gabel angebracht.,Dr Länker isch diräkt an dr Gable ahbrocht.
13426,Zur Debatte stand eine Lockerung des Verbots für Elfenbeinhandel.,Zur Debatta isch a Lockerig vum Verbot für Elfabeihandel gstanda.
30321,Die Mühen hätten sich aber ausgezahlt: Heute sind seine Schafe sicher.,De Chrampf heig sech aber uszahlt: Höt send sini Schoof secherer.
3878,Ab Dienstag kommen dann langsam im Norden mehr Wolken rein und die bringen vermutlich dann am Mittwoch einen ersten Regen.,Am Zischtig chöme de im Nordä langsam me Wuuchä inä und die bringä vermuetlech am Mittwuch erschte Rägä.
8926,So wird beispielsweise zum Reiten der Reitstiefel und zum Autowaschen oder dergleichen der Gummistiefel getragen.,So wird bispielswiis zum Ritta vu da Riitstiefel und zum Autowäscha oder derglicha dr Gummistiefel treit.
18243,Hast du auch den lauten Knall gestern Vormittag gehört?,Häsch au de luti Knall gester Morge ghört?
8300,Im Sommer ziehen die Kies- und Sandstrände im Nordosten der Insel einige Tagestouristen an.,Im Summer züchen d Kies- und d Sandstränd im Nordosta vur Insla einigi Tagestourista ah.
29139,Der Merkur ist der Sonne am nähesten.,De Merkur esch de Sonne am nöchste.
29137,Der Mars wird auch als der «rote Planet» bezeichnet.,"De Mars werd au als de ""roti Planet"" bezeichnet."
946,Der Mars wird auch als der «rote Planet» bezeichnet.,"De Mars wird au als de ""roti Planet"" bezeichnet."
277,"Sie kann damit sehr starke, böse Magie bewirken.","Si cha demit sehr starchi, bösi Magie bewirke."
1144,Richtig warm ist es weiterhin im Tessin mit achtzehn Grad.,Richtig warm isches wiiterhin im Tessin mit achtzeh Grad.
13364,"Gut Gemüse will Weile haben Im tropischen Gewächshaustunnel kann man sehen, wie das Saatgut gewonnen wird.","Guats Gmüas brucht Ziit. Im tropischa Gwächshuustunnel kamma gseh, wia ds Saatguat gwunna wird."
910,"Was hat es mit dem Quanten-Computing auf sich, und wieso ist es so wichtig?","Was hets mit dem Quante-Computing uf sich, und wieso isch es so wichtig?"
16576,Elefanten werden bis heute wegen des Elfenbeins und des Fleisches gewildert.,Elefante werded bis hüt wägem Elfebei undem Fleisch gwildered.
19314,Nach sehenswerter Vorarbeit von Samuele Campo und Frei kann Captain Valentin Stocker unbedrängt zum 2:0 einschieben.,Nach gueter Vorarbet vom Samuele Campo und vom Frei chan de Captain Valentin Stoker unbedrängt zum 2:0 verhälfe.
431,Große Steine werden auch «Felsen» oder «Felsbrocken» genannt.,"Grossi Stei werded au ""Felse"" oder ""Felsbröcke"" gnennt."
23535,"Serge war zwanzig Jahre lang drogenabhängig, viele Jahre davon von Heroin, dann von Methadon.","De Serge isch zwanzig Joor lang drogeabhängig gseh, vieli Joor devo Heroin, denn vo Methadon."
7015,Vor Bundespräsidentin Simonetta Sommaruga spricht WEF-Gründer Klaus Schwab.,Vor dr Bundespräsidentin Simonetta Sommaruga redet dr WEF-Gründer Klaus Schwab.
17810,Heute wird jedes zweite Auto in Norwegen elektrisch betrieben.,Hüt wird jedes zweite Auto in Norwege elektrisch betribe.
4097,Die frühere Verwaltungschefin von Hongkong verfolgt die Äusserungen der Regierung in Peking genau.,Die früecheri Verwautigschefin vo Hongkong verfougt d Üsserigä vor Regierig in Peking genau.
22024,Anders als in Europa müssen Unternehmen in der Schweiz nicht die explizite Einwilligung für Stimmprofile beim Kunden einholen.,Annersch wa in Europa miessunt Unernähmu iner Schwiz nit d'explizit Ihwilligung fer Stimmprofil bim Chund ihholu.
2295,Man betrüge diese um das ihnen zustehende Honorar.,Me betrügt die ums Honorar wo ihne zuestoht.
28161,Ich bin gerade wirklich unbeholfen.,Ich be grad wörklech onbeholfe.
15687,"Migranten, die aus Arbeitsgründen in die Schweiz gekommen sind, verlassen das Land im Durchschnitt nach fünf Jahren wieder.","Migranta, wo us Arbetsgründ in d Schwiz koh sind, verlöhn das Land im Durchschnitt noch füf Johr wieder."
10251,"Tut mir leid, ich verstehe dich nicht.","Tuat miar leid, i verstohn di nit."
17027,Er könnte nie einen Menschen betrügen oder verletzen.,Er chönnti nie en Mänsch betrüge oder verletze.
3954,"Dort besteht kaum Chance für Sonne, der Nebel bleibt eben liegen.","Dert beschteit chuum Chance für Sunnä, dr Näbu blibt äbä ligä."
13783,"Ich habe die Zahlen studiert, sie sind rückläufig und werden weiterhin rückläufig sein.","I han d Zahla studiart, sie sind rückläufig und werden wiiterhin rückläufig sii."
